,x_Bi,x_In,x_Sn,Tm
128,0.68,0.3,0.02,178.5
129,0.67,0.31,0.02,175.0
130,0.66,0.32,0.02,171.0
131,0.65,0.33,0.02,167.0
132,0.64,0.34,0.02,163.0
133,0.63,0.35,0.02,159.0
134,0.62,0.36,0.02,155.0
135,0.61,0.37,0.02,150.5
136,0.6,0.38,0.02,146.5
137,0.59,0.39,0.02,142.0
138,0.58,0.4,0.02,137.5
139,0.57,0.41,0.02,133.0
140,0.56,0.42,0.02,128.5
141,0.55,0.43,0.02,124.0
142,0.54,0.44,0.02,119.0
143,0.53,0.45,0.02,114.0
144,0.52,0.46,0.02,109.5
145,0.51,0.47,0.02,105.5
146,0.5,0.48,0.02,106.0
147,0.49,0.49,0.02,106.0
148,0.48,0.5,0.02,106.0
149,0.47,0.51,0.02,105.5
150,0.46,0.52,0.02,105.0
151,0.45,0.53,0.02,104.5
152,0.44,0.54,0.02,103.5
153,0.43,0.55,0.02,103.0
154,0.42,0.56,0.02,101.5
155,0.41,0.57,0.02,100.5
156,0.4,0.58,0.02,98.5
157,0.39,0.59,0.02,97.0
158,0.38,0.6,0.02,95.0
159,0.37,0.61,0.02,93.0
160,0.36,0.62,0.02,90.5
161,0.35,0.63,0.02,88.0
162,0.34,0.64,0.02,85.5
163,0.33,0.65,0.02,84.0
164,0.32,0.66,0.02,83.5
165,0.31,0.67,0.02,83.0
166,0.3,0.68,0.02,82.5
167,0.29,0.69,0.02,82.0
168,0.28,0.7,0.02,81.0
169,0.27,0.71,0.02,80.0
170,0.26,0.72,0.02,78.5
171,0.25,0.73,0.02,77.0
172,0.24,0.74,0.02,75.0
173,0.23,0.75,0.02,73.0
174,0.22,0.76,0.02,70.5
175,0.21,0.77,0.02,70.0
176,0.2,0.78,0.02,74.0
177,0.19,0.79,0.02,78.0
178,0.18,0.8,0.02,83.0
179,0.17,0.81,0.02,87.5
180,0.16,0.82,0.02,92.5
181,0.15,0.83,0.02,97.0
182,0.14,0.84,0.02,101.5
183,0.13,0.85,0.02,106.0
184,0.12,0.86,0.02,110.5
185,0.11,0.87,0.02,114.5
186,0.1,0.88,0.02,118.5
187,0.09,0.89,0.02,123.0
188,0.08,0.9,0.02,126.5
189,0.07,0.91,0.02,130.5
190,0.06,0.92,0.02,134.0
191,0.05,0.93,0.02,137.5
192,0.04,0.94,0.02,141.0
193,0.03,0.95,0.02,144.5
194,0.02,0.96,0.02,148.0
195,0.01,0.97,0.02,151.0
196,0.0,0.98,0.020000000000000018,154.5
200,0.97,0.0,0.03,265.5
197,0.96,0.01,0.03,263.0
198,0.95,0.02,0.03,260.5
199,0.94,0.03,0.03,258.0
200,0.93,0.04,0.03,255.5
201,0.92,0.05,0.03,253.0
202,0.91,0.06,0.03,250.5
203,0.9,0.07,0.03,248.0
204,0.89,0.08,0.03,245.5
205,0.88,0.09,0.03,243.0
206,0.87,0.1,0.03,240.0
207,0.86,0.11,0.03,237.5
208,0.85,0.12,0.03,234.5
209,0.84,0.13,0.03,231.5
210,0.83,0.14,0.03,229.0
211,0.82,0.15,0.03,226.0
212,0.81,0.16,0.03,223.0
213,0.8,0.17,0.03,220.0
214,0.79,0.18,0.03,217.0
215,0.78,0.19,0.03,213.5
216,0.77,0.2,0.03,210.5
217,0.76,0.21,0.03,207.0
218,0.75,0.22,0.03,204.0
219,0.74,0.23,0.03,200.5
220,0.73,0.24,0.03,197.0
221,0.72,0.25,0.03,194.0
222,0.71,0.26,0.03,190.0
223,0.7,0.27,0.03,186.5
224,0.69,0.28,0.03,183.0
225,0.68,0.29,0.03,179.5
226,0.67,0.3,0.03,175.5
227,0.66,0.31,0.03,172.0
228,0.65,0.32,0.03,168.0
229,0.64,0.33,0.03,164.0
230,0.63,0.34,0.03,160.0
231,0.62,0.35,0.03,156.0
232,0.61,0.36,0.03,151.5
233,0.6,0.37,0.03,147.5
234,0.59,0.38,0.03,143.0
235,0.58,0.39,0.03,139.0
236,0.57,0.4,0.03,134.5
237,0.56,0.41,0.03,130.0
238,0.55,0.42,0.03,125.0
239,0.54,0.43,0.03,120.5
240,0.53,0.44,0.03,115.5
241,0.52,0.45,0.03,111.0
242,0.51,0.46,0.03,106.0
243,0.5,0.47,0.03,104.0
244,0.49,0.48,0.03,104.0
245,0.48,0.49,0.03,104.0
246,0.47,0.5,0.03,104.0
247,0.46,0.51,0.03,103.5
248,0.45,0.52,0.03,103.0
249,0.44,0.53,0.03,102.5
250,0.43,0.54,0.03,101.5
251,0.42,0.55,0.03,100.5
252,0.41,0.56,0.03,99.5
253,0.4,0.57,0.03,98.0
254,0.39,0.58,0.03,96.5
255,0.38,0.59,0.03,94.5
256,0.37,0.6,0.03,92.5
257,0.36,0.61,0.03,90.5
258,0.35,0.62,0.03,88.0
259,0.34,0.63,0.03,85.5
260,0.33,0.64,0.03,82.5
261,0.32,0.65,0.03,81.5
262,0.31,0.66,0.03,81.0
263,0.3,0.67,0.03,81.0
264,0.29,0.68,0.03,80.5
265,0.28,0.69,0.03,79.5
266,0.27,0.7,0.03,78.5
267,0.26,0.71,0.03,77.5
268,0.25,0.72,0.03,76.0
269,0.24,0.73,0.03,74.0
270,0.23,0.74,0.03,72.0
271,0.22,0.75,0.03,70.0
272,0.21,0.76,0.03,67.76993221523713
273,0.2,0.77,0.03,71.5
274,0.19,0.78,0.03,76.0
275,0.18,0.79,0.03,81.0
276,0.17,0.8,0.03,86.0
277,0.16,0.81,0.03,90.5
278,0.15,0.82,0.03,95.5
279,0.14,0.83,0.03,100.0
280,0.13,0.84,0.03,104.5
281,0.12,0.85,0.03,109.0
282,0.11,0.86,0.03,113.0
283,0.1,0.87,0.03,117.0
284,0.09,0.88,0.03,121.0
285,0.08,0.89,0.03,125.0
286,0.07,0.9,0.03,129.0
287,0.06,0.91,0.03,132.5
288,0.05,0.92,0.03,136.5
289,0.04,0.93,0.03,140.0
290,0.03,0.94,0.03,143.5
291,0.02,0.95,0.03,146.5
292,0.01,0.96,0.03,150.0
195,0.0,0.97,0.030000000000000027,153.0
194,0.0,0.9600000000000001,0.039999999999999925,152.0
201,0.96,0.0,0.04,263.5
294,0.95,0.01,0.04,261.0
295,0.94,0.02,0.04,258.5
296,0.93,0.03,0.04,256.0
297,0.92,0.04,0.04,253.5
298,0.91,0.05,0.04,251.0
299,0.9,0.06,0.04,248.5
300,0.89,0.07,0.04,245.5
301,0.88,0.08,0.04,243.0
302,0.87,0.09,0.04,240.5
303,0.86,0.1,0.04,237.5
304,0.85,0.11,0.04,235.0
305,0.84,0.12,0.04,232.0
306,0.83,0.13,0.04,229.0
307,0.82,0.14,0.04,226.0
308,0.81,0.15,0.04,223.0
309,0.8,0.16,0.04,220.0
310,0.79,0.17,0.04,217.0
311,0.78,0.18,0.04,214.0
312,0.77,0.19,0.04,211.0
313,0.76,0.2,0.04,207.5
314,0.75,0.21,0.04,204.5
315,0.74,0.22,0.04,201.0
316,0.73,0.23,0.04,197.5
317,0.72,0.24,0.04,194.5
318,0.71,0.25,0.04,191.0
319,0.7,0.26,0.04,187.5
320,0.69,0.27,0.04,183.5
321,0.68,0.28,0.04,180.0
322,0.67,0.29,0.04,176.5
323,0.66,0.3,0.04,172.5
324,0.65,0.31,0.04,168.5
325,0.64,0.32,0.04,165.0
326,0.63,0.33,0.04,161.0
327,0.62,0.34,0.04,157.0
328,0.61,0.35,0.04,152.5
329,0.6,0.36,0.04,148.5
330,0.59,0.37,0.04,144.5
331,0.58,0.38,0.04,140.0
332,0.57,0.39,0.04,135.5
333,0.56,0.4,0.04,131.0
