ベンダ,GRAPHTEC Corporation,,,,,,,,,,,,,,
モデル,GL260,,,,,,,,,,,,,,
バージョン,Ver1.03  ,,,,,,,,,,,,,,
最大CH数,10,,,,,,,,,,,,,,
WL開始CH,10,,,,,,,,,,,,,,
演算開始CH,10,,,,,,,,,,,,,,
最大ロジックCH数,4,,,,,,,,,,,,,,
最大演算CH数,10,,,,,,,,,,,,,,
Logic/Pulse,Off,,,,,,,,,,,,,,
温度単位,C,,,,,,,,,,,,,,
測定間隔,1s,,,,,,,,,,,,,,
測定点数,880,,,,,,,,,,,,,,
トリガ点,0,,,,,,,,,,,,,,
開始時刻,2026/04/14,14:43:23,,,,,,,,,,,,,
54,2026/04/14 14:44,0,313.6,312.9,303.1,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
55,2026/04/14 14:44,0,314.1,313.5,303.6,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
56,2026/04/14 14:44,0,314.5,314,304.1,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
57,2026/04/14 14:44,0,315,314.5,304.6,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
58,2026/04/14 14:44,0,315.3,315.1,305,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
59,2026/04/14 14:44,0,315.7,315.7,305.5,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
60,2026/04/14 14:44,0,316.1,316.2,305.9,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
61,2026/04/14 14:44,0,316.6,316.7,306.4,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
62,2026/04/14 14:44,0,317,317.3,306.8,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
63,2026/04/14 14:44,0,317.4,317.9,307.2,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
64,2026/04/14 14:44,0,317.8,318.5,307.7,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
65,2026/04/14 14:44,0,318.2,318.9,308.1,23.5,26.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
66,2026/04/14 14:44,0,318.6,319.5,308.5,23.5,26.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
67,2026/04/14 14:44,0,319.1,320,308.9,23.5,26.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
68,2026/04/14 14:44,0,319.5,320.5,309.4,23.5,26.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
69,2026/04/14 14:44,0,319.8,321,309.9,23.5,26.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
70,2026/04/14 14:44,0,320.3,321.6,310.4,23.5,26.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
71,2026/04/14 14:44,0,320.7,322.1,310.9,23.4,26.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
72,2026/04/14 14:44,0,321.2,322.7,311.3,23.4,26.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
73,2026/04/14 14:44,0,321.6,323.2,311.9,23.4,26.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
74,2026/04/14 14:44,0,322,323.8,312.3,23.4,26.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
